,county,year,days_with_aqi,good_days,moderate_days,unhealthy_for_sensitive_groups_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,90th_percentile_aqi,median_aqi,days_co,days_no2,days_ozone,days_pm2.5,days_pm10,asthma_rate,number_of_cases
281,Inyo,2018,365,192,136,26,7,2,2,638,101,49,0,0,291,44,30,49.03,81.0
282,Kern,2018,365,45,190,103,27,0,0,190,142,84,0,0,226,126,13,46.18,4290.0
283,Kings,2018,365,68,239,49,9,0,0,190,114,70,0,0,161,160,44,53.69,832.0
284,Lake,2018,357,344,10,1,1,1,0,233,43,33,0,0,343,12,2,86.34,503.0
285,Los Angeles,2018,365,7,250,89,18,1,0,201,130,78,0,22,153,189,1,47.03,46644.0
286,Madera,2018,365,122,208,30,5,0,0,169,100,58,0,0,181,160,24,50.88,812.0
287,Marin,2018,365,235,117,3,9,1,0,243,63,43,0,11,85,269,0,24.14,583.0
288,Mariposa,2018,365,156,169,10,13,15,2,352,108,53,0,0,226,139,0,47.31,68.0
289,Mendocino,2018,364,217,126,13,6,1,1,376,69,46,0,0,81,282,1,61.89,504.0
290,Merced,2018,365,110,214,32,9,0,0,178,101,56,0,1,139,224,1,59.87,1704.0
291,Mono,2018,365,252,84,14,10,3,2,1049,85,27,0,0,0,234,131,54.77,65.0
292,Monterey,2018,365,258,100,5,2,0,0,157,57,42,0,0,149,189,27,36.09,1613.0
293,Napa,2018,364,210,142,4,8,0,0,195,65,46,1,1,99,262,1,37.03,510.0
294,Nevada,2018,363,231,104,19,7,2,0,218,87,45,0,0,311,52,0,26.02,219.0
295,Orange,2018,365,114,233,15,3,0,0,160,86,54,0,17,114,231,3,26.45,8168.0
296,Placer,2018,365,213,127,16,7,2,0,248,84,46,0,12,176,174,3,32.86,1151.0
297,Plumas,2018,350,186,154,8,2,0,0,162,85,47,0,0,0,350,0,61.1,92.0
298,Riverside,2018,365,32,193,102,32,6,0,296,153,87,0,1,210,117,37,37.73,8910.0
299,Sacramento,2018,365,104,226,22,6,5,2,376,100,58,0,1,131,229,4,64.1,9633.0
300,San Benito,2018,365,270,84,11,0,0,0,143,63,42,0,0,286,78,1,56.48,318.0
301,San Bernardino,2018,365,14,197,96,51,7,0,221,164,89,0,5,197,159,4,47.22,10331.0
302,San Diego,2018,365,28,302,35,0,0,0,143,100,67,0,0,162,203,0,28.69,9424.0
303,San Francisco,2018,365,222,129,2,10,2,0,252,66,44,1,23,86,254,1,36.18,2854.0
304,San Joaquin,2018,365,91,241,20,8,4,1,365,99,59,0,0,85,276,4,60.31,4519.0
305,San Luis Obispo,2018,365,147,209,9,0,0,0,133,77,53,0,0,172,168,25,28.06,692.0
306,San Mateo,2018,365,236,116,3,10,0,0,197,61,42,0,13,90,262,0,27.38,2050.0
307,Santa Barbara,2018,365,173,190,2,0,0,0,114,67,51,0,0,167,188,10,27.37,1207.0
308,Santa Clara,2018,365,154,194,6,9,2,0,214,72,53,0,2,94,269,0,26.25,5084.0
309,Santa Cruz,2018,365,273,82,5,5,0,0,177,56,41,0,0,136,229,0,27.79,721.0
310,Shasta,2018,365,272,72,15,5,1,0,206,84,43,0,0,341,23,1,38.38,604.0
311,Siskiyou,2018,365,247,78,16,21,3,0,219,119,42,0,0,214,151,0,34.12,138.0
312,Solano,2018,365,184,166,3,11,1,0,272,69,50,0,1,120,244,0,79.02,3344.0
313,Sonoma,2018,365,304,48,3,8,2,0,250,57,39,0,2,232,130,1,37.71,1766.0
314,Stanislaus,2018,365,109,209,32,11,4,0,265,108,59,0,1,153,206,5,52.66,2899.0
315,Sutter,2018,365,94,236,22,6,6,1,420,100,58,0,0,101,263,1,29.8,291.0
316,Tehama,2018,365,208,128,16,12,1,0,206,96,48,0,0,224,141,0,48.01,288.0
317,Trinity,2018,291,117,155,12,5,2,0,209,82,54,0,0,0,291,0,59.8,57.0
318,Tulare,2018,365,50,194,95,26,0,0,180,140,79,0,0,207,152,6,32.11,1598.0
319,Tuolumne,2018,348,254,73,20,1,0,0,154,80,43,0,0,348,0,0,47.32,220.0
320,Ventura,2018,365,94,254,16,1,0,0,166,88,57,0,0,116,238,11,30.31,2465.0
321,Yolo,2018,365,216,135,5,7,2,0,260,71,45,0,0,198,167,0,38.93,804.0
322,Alameda,2019,365,183,174,8,0,0,0,150,67,50,0,11,94,260,0,46.34,7432.0
323,Amador,2019,355,308,45,2,0,0,0,115,51,39,0,0,355,0,0,52.68,169.0
324,Butte,2019,365,171,189,3,2,0,0,180,71,51,0,0,121,243,1,37.77,752.0
325,Calaveras,2019,360,288,71,1,0,0,0,108,60,43,0,0,297,62,1,58.8,199.0
326,Colusa,2019,365,260,105,0,0,0,0,85,61,41,0,0,152,173,40,47.17,103.0
327,Contra Costa,2019,365,238,123,4,0,0,0,129,64,43,0,3,171,190,1,54.97,5888.0
328,Del Norte,2019,248,210,38,0,0,0,0,74,53,26,0,0,0,248,0,48.0,117.0
329,El Dorado,2019,365,273,86,6,0,0,0,122,74,43,0,0,353,3,9,33.25,539.0
330,Fresno,2019,365,113,186,64,2,0,0,187,115,63,0,1,229,118,17,63.37,6588.0
331,Glenn,2019,362,274,88,0,0,0,0,86,58,42,0,0,232,119,11,40.41,118.0
332,Humboldt,2019,363,340,23,0,0,0,0,69,44,28,2,1,253,70,37,49.54,614.0
333,Imperial,2019,365,94,250,19,2,0,0,185,93,61,0,0,185,128,52,61.9,1197.0
334,Inyo,2019,365,226,127,6,2,1,3,653,84,47,0,0,313,23,29,60.97,92.0
335,Kern,2019,365,91,179,87,6,1,1,553,122,69,0,1,228,108,28,46.57,4278.0
336,Kings,2019,365,123,201,37,2,0,2,508,105,58,0,0,166,130,69,47.49,752.0
337,Lake,2019,360,360,0,0,0,0,0,50,42,31,0,0,351,8,1,90.9,508.0
338,Los Angeles,2019,365,34,245,57,28,1,0,201,136,72,0,24,166,170,5,47.95,46731.0
339,Madera,2019,365,167,185,13,0,0,0,140,84,52,0,0,225,103,37,50.11,779.0
340,Marin,2019,363,291,71,1,0,0,0,133,55,37,0,10,151,202,0,23.27,540.0
341,Mariposa,2019,365,192,159,9,5,0,0,185,84,50,0,0,247,118,0,37.75,63.0
342,Mendocino,2019,361,290,71,0,0,0,0,80,54,36,0,0,155,199,7,61.11,488.0
343,Merced,2019,365,176,182,7,0,0,0,119,80,51,0,0,202,161,2,59.66,1687.0
344,Mono,2019,365,242,108,6,0,0,9,4227,83,34,0,0,0,322,43,47.89,51.0
345,Monterey,2019,365,303,61,1,0,0,0,144,54,39,2,0,228,127,8,36.95,1630.0
346,Napa,2019,363,295,66,2,0,0,0,119,54,37,2,0,211,150,0,37.75,496.0
347,Nevada,2019,361,251,105,5,0,0,0,122,71,45,0,0,272,89,0,27.74,218.0
348,Orange,2019,365,157,192,15,1,0,0,172,87,53,0,7,188,164,6,27.26,8315.0
349,Placer,2019,365,198,158,9,0,0,0,136,77,49,0,0,218,145,2,29.45,1036.0
350,Plumas,2019,341,220,116,5,0,0,0,138,71,34,0,0,0,341,0,56.34,86.0
351,Riverside,2019,365,53,192,91,29,0,0,185,147,77,0,0,219,102,44,39.48,9237.0
352,Sacramento,2019,365,175,180,10,0,0,0,140,84,52,0,1,188,169,7,59.48,8986.0
353,San Benito,2019,365,318,47,0,0,0,0,90,52,39,0,0,308,51,6,58.02,340.0
354,San Bernardino,2019,365,29,203,71,54,8,0,213,172,81,0,4,214,140,7,50.06,10877.0
355,San Diego,2019,365,38,302,23,2,0,0,169,93,66,0,1,133,228,3,30.2,9860.0
356,San Francisco,2019,365,251,113,1,0,0,0,108,58,39,0,15,119,231,0,33.21,2666.0
357,San Joaquin,2019,365,202,151,11,1,0,0,190,82,47,0,1,201,149,14,58.01,4373.0
358,San Luis Obispo,2019,365,196,166,3,0,0,0,108,74,49,0,0,239,109,17,31.87,762.0
359,San Mateo,2019,365,276,87,2,0,0,0,122,57,39,0,14,135,216,0,26.21,1983.0
360,Santa Barbara,2019,365,242,122,1,0,0,0,105,63,45,0,0,228,128,9,28.11,1225.0
361,Santa Clara,2019,365,205,156,4,0,0,0,136,68,48,0,1,134,229,1,24.29,4646.0
362,Santa Cruz,2019,365,291,74,0,0,0,0,74,54,39,0,0,166,199,0,30.52,796.0
363,Shasta,2019,364,306,58,0,0,0,0,100,54,42,0,0,349,13,2,39.94,630.0
364,Siskiyou,2019,365,302,59,2,2,0,0,164,54,38,0,0,239,126,0,40.79,148.0
365,Solano,2019,365,226,138,1,0,0,0,119,64,45,0,1,129,235,0,71.26,2986.0
366,Sonoma,2019,365,318,47,0,0,0,0,87,52,36,0,1,202,155,7,32.65,1487.0
367,Stanislaus,2019,365,168,174,22,1,0,0,177,92,52,0,0,208,147,10,52.93,2887.0
368,Sutter,2019,365,200,163,2,0,0,0,110,71,48,0,0,200,159,6,27.19,274.0
369,Tehama,2019,365,263,102,0,0,0,0,93,64,43,0,0,299,66,0,46.61,273.0
370,Trinity,2019,269,225,42,2,0,0,0,113,56,23,0,0,0,269,0,43.23,47.0
371,Tulare,2019,365,98,186,78,2,1,0,280,122,67,0,0,210,136,19,40.67,1994.0
372,Tuolumne,2019,358,273,83,2,0,0,0,108,67,43,0,0,358,0,0,44.83,185.0
373,Ventura,2019,365,175,181,9,0,0,0,126,77,51,0,3,226,127,9,30.65,2410.0
374,Yolo,2019,365,252,112,1,0,0,0,136,63,43,0,1,249,114,1,35.9,742.0
375,Alameda,2020,366,169,177,8,11,1,0,243,81,52,0,6,87,273,0,27.32,4274.0
376,Amador,2020,359,327,29,2,1,0,0,156,50,37,0,0,359,0,0,28.89,103.0
377,Butte,2020,366,149,178,18,16,3,2,508,110,54,0,0,159,204,3,23.98,473.0
378,Calaveras,2020,364,206,135,10,12,1,0,210,79,48,0,0,182,177,5,29.14,111.0
379,Colusa,2020,366,218,116,9,22,1,0,221,87,42,0,0,148,190,28,25.45,49.0
380,Contra Costa,2020,366,192,156,7,10,1,0,221,75,49,0,2,107,257,0,27.07,3033.0
381,Del Norte,2020,292,193,90,4,3,2,0,245,61,42,0,0,0,292,0,40.45,104.0
382,El Dorado,2020,366,256,87,17,6,0,0,190,90,43,0,0,346,13,7,21.02,351.0
383,Fresno,2020,366,75,192,59,31,8,1,346,154,76,0,0,149,204,13,34.74,3500.0
384,Glenn,2020,364,200,135,7,19,3,0,221,84,46,0,0,151,202,11,20.38,55.0
385,Humboldt,2020,366,318,45,3,0,0,0,109,53,29,0,0,225,80,61,34.21,442.0
386,Imperial,2020,366,94,244,26,2,0,0,166,97,60,0,1,153,146,66,26.7,474.0
387,Inyo,2020,366,158,153,23,16,8,8,705,130,57,0,0,218,128,20,26.91,46.0
388,Kern,2020,366,56,180,98,28,4,0,267,140,83,0,0,184,166,16,27.98,2528.0
389,Kings,2020,366,76,220,54,13,2,1,548,124,70,0,0,118,199,49,27.64,425.0
390,Lake,2020,351,341,6,1,3,0,0,190,44,32,0,0,324,25,2,44.32,269.0
391,Los Angeles,2020,366,35,194,77,43,17,0,250,166,85,0,9,180,175,2,26.6,25868.0
392,Madera,2020,366,104,209,34,15,4,0,275,113,64,0,0,173,174,19,31.15,473.0
393,Marin,2020,366,272,85,4,4,1,0,231,62,36,0,8,148,210,0,11.81,279.0
394,Mariposa,2020,366,195,123,27,10,6,5,1073,111,49,0,0,275,84,7,23.43,31.0
395,Mendocino,2020,366,240,103,10,10,0,3,716,79,40,0,0,112,252,2,38.28,314.0
396,Merced,2020,366,131,203,17,15,0,0,194,96,57,0,0,164,201,1,37.82,1033.0
397,Mono,2020,366,183,117,13,14,11,28,2088,224,51,0,0,0,331,35,36.04,40.0
398,Monterey,2020,366,259,92,4,8,3,0,275,64,39,0,0,171,171,24,21.34,917.0
399,Napa,2020,365,259,91,7,7,1,0,224,66,39,3,0,163,199,0,22.98,322.0
400,Nevada,2020,366,223,111,15,11,6,0,277,91,46,0,0,173,193,0,20.74,174.0
401,Orange,2020,366,118,207,28,11,2,0,218,108,56,0,4,153,207,2,15.88,4866.0
402,Placer,2020,366,130,195,20,15,6,0,247,108,57,0,0,181,177,8,16.13,621.0
403,Plumas,2020,360,135,175,16,17,10,7,755,146,56,0,0,0,360,0,40.49,57.0
404,Riverside,2020,366,42,179,98,36,9,2,584,159,87,0,0,211,124,31,24.75,5870.0
405,Sacramento,2020,366,145,185,17,16,3,0,226,100,55,0,0,166,191,9,35.15,5480.0
406,San Benito,2020,366,271,78,8,9,0,0,174,68,41,0,0,241,117,8,35.38,219.0
407,San Bernardino,2020,366,33,170,76,69,18,0,236,185,93,0,6,219,128,13,31.0,6752.0
408,San Diego,2020,366,33,284,35,14,0,0,192,108,74,0,0,100,263,3,17.69,5739.0
409,San Francisco,2020,366,227,131,3,4,1,0,223,67,42,0,5,118,243,0,17.02,1435.0
410,San Joaquin,2020,366,162,173,16,13,2,0,215,97,54,0,0,129,223,14,37.98,2941.0
411,San Luis Obispo,2020,366,161,174,21,7,1,2,334,90,53,0,0,179,181,6,16.84,432.0
412,San Mateo,2020,366,257,99,5,5,0,0,199,64,37,0,11,136,219,0,14.42,1080.0
413,Santa Barbara,2020,366,199,154,9,4,0,0,174,68,48,0,0,156,207,3,15.37,678.0
414,Santa Clara,2020,366,174,172,11,9,0,0,198,81,52,0,3,107,256,0,14.95,2810.0
415,Santa Cruz,2020,366,261,85,6,10,1,3,624,68,39,0,0,138,228,0,17.08,457.0
416,Shasta,2020,366,286,72,6,2,0,0,171,67,41,0,0,325,41,0,24.03,400.0
417,Siskiyou,2020,366,272,71,10,9,2,2,468,66,39,0,0,210,156,0,25.1,86.0
418,Solano,2020,366,183,167,9,6,1,0,228,77,51,0,0,125,240,1,40.18,1766.0
419,Sonoma,2020,366,290,69,1,6,0,0,199,57,36,0,1,166,192,7,18.76,884.0
420,Stanislaus,2020,366,131,198,21,16,0,0,195,102,60,0,1,169,182,14,32.9,1802.0
421,Sutter,2020,366,162,173,15,13,2,1,356,90,53,0,0,140,222,4,19.42,183.0
422,Tehama,2020,366,216,117,12,19,2,0,218,94,46,0,0,214,152,0,28.11,173.0
423,Trinity,2020,343,215,100,12,13,3,0,211,81,36,0,0,0,343,0,21.85,26.0
424,Tulare,2020,366,52,179,103,30,2,0,225,145,80,0,0,164,190,12,24.56,1134.0
425,Tuolumne,2020,353,277,71,5,0,0,0,143,64,41,0,0,353,0,0,26.74,129.0
426,Ventura,2020,366,185,155,21,5,0,0,174,90,50,0,0,239,119,8,17.26,1393.0
427,Yolo,2020,366,215,123,14,13,1,0,209,86,45,0,1,168,197,0,22.99,455.0
428,Alameda,2021,365,155,200,9,1,0,0,151,71,53,0,3,99,263,0,25.31,3862.0
429,Amador,2021,365,307,54,4,0,0,0,133,67,37,0,0,365,0,0,32.41,95.0
430,Butte,2021,365,160,174,18,10,3,0,257,90,53,0,0,177,185,3,23.72,443.0
431,Calaveras,2021,364,220,135,6,3,0,0,178,77,46,0,0,216,148,0,36.74,120.0
432,Colusa,2021,365,111,238,9,6,1,0,225,76,55,0,0,60,291,14,28.35,61.0
433,Contra Costa,2021,365,195,165,5,0,0,0,150,69,47,0,0,139,226,0,26.6,2907.0
434,Del Norte,2021,323,259,64,0,0,0,0,72,54,31,0,0,0,323,0,38.8,97.0
435,El Dorado,2021,365,247,96,16,4,1,1,375,93,43,0,0,349,9,7,24.18,387.0
436,Fresno,2021,365,62,221,63,17,2,0,278,130,68,0,0,146,209,10,34.7,3521.0
437,Glenn,2021,365,244,106,9,6,0,0,192,65,42,0,0,183,172,10,29.34,79.0
438,Humboldt,2021,365,333,32,0,0,0,0,64,48,29,12,0,219,78,56,27.67,344.0
439,Imperial,2021,365,84,252,22,4,1,2,436,97,60,0,0,134,126,105,21.93,400.0
440,Inyo,2021,365,100,222,25,12,3,3,558,115,61,0,0,152,185,28,34.43,50.0
441,Kern,2021,365,35,202,97,29,1,1,314,147,84,0,0,151,199,15,26.84,2440.0
442,Kings,2021,365,84,230,40,10,0,1,685,109,64,0,0,119,168,78,34.27,526.0
443,Lake,2021,356,348,7,0,1,0,0,157,43,33,0,0,335,19,2,40.32,242.0
444,Los Angeles,2021,365,9,259,70,26,1,0,281,143,79,0,13,148,199,5,26.2,24746.0
445,Madera,2021,365,133,197,28,7,0,0,194,100,58,0,0,210,131,24,31.19,471.0
446,Marin,2021,365,267,98,0,0,0,0,88,60,38,0,2,149,214,0,13.78,305.0
447,Mariposa,2021,365,193,140,25,7,0,0,162,97,49,0,0,292,73,0,17.51,26.0
448,Mendocino,2021,365,210,147,6,2,0,0,185,69,46,0,0,76,289,0,33.13,266.0
449,Merced,2021,365,155,177,31,2,0,0,166,100,54,0,0,210,151,4,37.24,1049.0
450,Mono,2021,364,260,78,12,11,0,3,2971,84,27,0,0,0,241,123,29.35,36.0
451,Monterey,2021,365,261,104,0,0,0,0,80,57,41,0,0,161,194,10,22.36,968.0
452,Napa,2021,140,108,32,0,0,0,0,77,56,41,1,0,74,65,0,15.67,201.0
453,Nevada,2021,365,183,129,34,13,4,2,326,115,50,0,0,208,157,0,20.51,168.0
454,Orange,2021,365,109,238,18,0,0,0,148,87,55,0,5,124,232,4,16.11,4788.0
455,Placer,2021,365,130,187,30,9,6,3,692,115,58,0,0,220,144,1,19.86,734.0
456,Plumas,2021,365,97,184,37,24,16,7,654,170,67,0,0,0,365,0,26.49,39.0
457,Riverside,2021,365,19,210,89,44,2,1,329,158,89,0,0,191,127,47,26.0,6069.0
458,Sacramento,2021,365,146,183,30,4,1,1,381,100,55,0,0,195,166,4,32.46,5008.0
459,San Benito,2021,365,295,70,0,0,0,0,100,55,41,0,0,280,79,6,24.26,145.0
460,San Bernardino,2021,365,17,202,73,61,11,1,486,172,87,0,7,191,155,12,30.45,6560.0
461,San Diego,2021,365,52,297,16,0,0,0,133,90,67,0,0,163,199,3,17.91,5716.0
462,San Francisco,2021,365,255,110,0,0,0,0,86,60,39,0,8,162,195,0,17.92,1387.0
463,San Joaquin,2021,365,140,209,15,1,0,0,153,84,55,0,0,114,231,20,35.29,2708.0
464,San Luis Obispo,2021,365,154,203,8,0,0,0,133,77,53,0,0,190,167,8,16.28,411.0
465,San Mateo,2021,365,290,75,0,0,0,0,90,56,36,0,3,199,163,0,13.17,926.0
466,Santa Barbara,2021,365,240,124,1,0,0,0,101,60,44,0,0,180,184,1,15.73,672.0
467,Santa Clara,2021,365,147,211,7,0,0,0,147,72,53,0,0,90,275,0,14.56,2663.0
468,Santa Cruz,2021,365,298,67,0,0,0,0,80,54,37,0,0,187,178,0,18.52,443.0
469,Shasta,2021,365,222,111,15,12,5,0,240,93,46,0,0,271,94,0,25.27,409.0
470,Siskiyou,2021,364,237,96,7,21,3,0,210,86,43,0,0,178,186,0,21.42,76.0
471,Solano,2021,365,215,147,3,0,0,0,126,66,44,0,0,172,193,0,40.05,1705.0
472,Sonoma,2021,365,283,82,0,0,0,0,89,57,37,0,0,156,203,6,15.0,673.0
473,Stanislaus,2021,365,84,234,42,5,0,0,172,105,61,0,0,136,225,4,32.44,1769.0
474,Sutter,2021,364,102,240,17,5,0,0,175,90,59,0,0,95,268,1,23.18,215.0
475,Tehama,2021,365,207,122,21,15,0,0,193,100,47,0,0,256,109,0,31.38,189.0
476,Trinity,2021,328,201,81,4,19,9,14,1217,168,38,0,0,0,328,0,26.72,33.0
477,Tulare,2021,365,49,182,93,38,2,1,961,154,81,0,0,173,187,5,26.95,1280.0
478,Tuolumne,2021,360,295,63,2,0,0,0,136,61,41,0,0,360,0,0,23.59,104.0
479,Ventura,2021,365,157,198,10,0,0,0,122,80,53,0,0,214,140,11,16.81,1312.0
480,Yolo,2021,365,242,117,4,2,0,0,159,68,42,0,0,215,149,1,22.87,436.0
481,Alameda,2022,365,185,175,5,0,0,0,122,70,49,0,2,108,255,0,35.28,5201.0
482,Amador,2022,364,333,30,1,0,0,0,112,50,36,0,0,364,0,0,38.44,121.0
483,Butte,2022,365,191,171,3,0,0,0,119,77,50,0,0,239,126,0,27.09,505.0
484,Calaveras,2022,364,286,77,1,0,0,0,115,58,41,0,0,237,126,1,35.09,119.0
485,Colusa,2022,363,240,122,1,0,0,0,105,59,44,0,0,185,171,7,45.3,95.0
486,Contra Costa,2022,365,174,189,2,0,0,0,129,67,52,0,0,99,266,0,40.2,4243.0
487,Del Norte,2022,344,299,45,0,0,0,0,74,52,29,0,0,0,344,0,41.68,97.0
488,El Dorado,2022,365,258,93,12,2,0,0,186,77,43,0,0,353,8,4,25.46,416.0
489,Fresno,2022,365,78,217,67,3,0,0,159,115,71,0,0,192,160,13,46.1,4717.0
490,Glenn,2022,360,264,95,1,0,0,0,104,61,42,0,0,255,98,7,33.02,90.0
491,Humboldt,2022,365,340,25,0,0,0,0,74,42,24,1,0,217,84,63,36.78,453.0
492,Imperial,2022,365,86,232,34,5,2,6,791,106,61,0,2,131,131,101,29.67,547.0
493,Inyo,2022,365,117,217,18,4,4,5,1551,97,58,0,0,188,130,47,38.99,63.0
494,Kern,2022,365,47,196,109,12,1,0,289,136,80,0,0,189,153,23,29.17,2670.0
495,Kings,2022,365,71,244,48,2,0,0,187,108,69,0,0,163,149,53,38.32,586.0
496,Lake,2022,363,359,4,0,0,0,0,76,43,32,0,0,350,13,0,54.62,318.0
497,Los Angeles,2022,365,17,254,65,28,1,0,209,140,74,0,19,170,167,9,35.91,33186.0
498,Madera,2022,365,147,205,13,0,0,0,136,87,54,0,0,212,129,24,43.88,675.0
499,Marin,2022,365,275,90,0,0,0,0,91,57,37,0,2,151,212,0,17.12,378.0
500,Mariposa,2022,365,211,125,8,21,0,0,198,89,48,0,0,276,88,1,21.15,28.0
501,Mendocino,2022,365,129,234,2,0,0,0,103,69,54,0,0,26,339,0,52.34,416.0
502,Merced,2022,365,140,212,13,0,0,0,143,87,56,0,0,195,141,29,47.91,1372.0
503,Mono,2022,365,276,61,5,7,1,15,8368,68,27,0,0,0,255,110,38.3,41.0
504,Monterey,2022,365,299,66,0,0,0,0,80,54,39,0,0,198,144,23,31.73,1345.0
505,Nevada,2022,365,185,161,11,3,5,0,293,87,50,0,0,258,107,0,19.63,152.0
506,Orange,2022,365,143,215,5,2,0,0,156,71,53,0,9,133,217,6,23.24,6714.0
507,Placer,2022,365,156,185,15,4,3,2,442,90,54,0,0,241,123,1,23.17,851.0
508,Plumas,2022,359,148,182,25,4,0,0,175,96,55,0,0,0,359,0,29.56,49.0
509,Riverside,2022,365,41,198,86,31,2,7,1683,151,77,0,0,196,110,59,35.49,8247.0
510,Sacramento,2022,365,162,184,17,2,0,0,164,93,53,0,0,200,164,1,40.27,6083.0
511,San Benito,2022,365,297,68,0,0,0,0,97,57,42,0,0,299,65,1,34.85,222.0
512,San Bernardino,2022,365,23,212,67,56,7,0,225,166,77,0,9,197,142,17,39.01,8386.0
513,San Diego,2022,365,42,297,25,1,0,0,156,97,63,0,1,150,190,24,26.27,8244.0
514,San Francisco,2022,364,260,104,0,0,0,0,88,59,36,2,18,152,192,0,24.81,1753.0
515,San Joaquin,2022,365,192,164,8,0,1,0,208,86,48,0,0,172,169,24,47.01,3588.0
516,San Luis Obispo,2022,365,117,245,3,0,0,0,115,75,55,0,0,160,203,2,22.44,549.0
517,San Mateo,2022,365,267,98,0,0,0,0,85,60,36,0,7,179,179,0,21.35,1445.0
518,Santa Barbara,2022,365,198,167,0,0,0,0,93,60,48,0,0,138,223,4,20.31,866.0
519,Santa Clara,2022,365,187,173,5,0,0,0,119,73,49,0,0,130,235,0,22.22,3974.0
520,Santa Cruz,2022,365,287,78,0,0,0,0,93,56,35,0,0,180,185,0,22.22,520.0
521,Shasta,2022,365,253,106,6,0,0,0,119,71,45,0,0,303,62,0,25.18,413.0
522,Siskiyou,2022,362,269,86,2,4,0,1,454,62,41,0,0,203,159,0,27.91,98.0
523,Solano,2022,365,235,130,0,0,0,0,93,67,43,0,0,197,168,0,53.61,2234.0
524,Sonoma,2022,365,286,79,0,0,0,0,82,56,36,0,0,194,168,3,26.84,1142.0
525,Stanislaus,2022,365,108,234,22,1,0,0,166,95,57,0,0,128,218,19,39.46,2134.0
526,Sutter,2022,364,154,205,5,0,0,0,119,81,52,0,0,178,186,0,26.47,254.0
527,Tehama,2022,365,245,117,3,0,0,0,108,74,44,0,0,281,84,0,34.5,199.0
528,Trinity,2022,353,227,111,5,5,3,2,342,72,34,0,0,0,353,0,27.05,39.0
529,Tulare,2022,365,58,193,106,8,0,0,182,129,77,0,0,192,158,15,31.62,1526.0
530,Tuolumne,2022,250,237,12,1,0,0,0,108,48,39,0,0,250,0,0,27.22,119.0
531,Ventura,2022,365,171,183,11,0,0,0,140,80,52,0,1,242,122,0,25.35,1955.0
532,Yolo,2022,365,283,80,2,0,0,0,101,64,42,0,0,278,87,0,29.82,554.0
